Date,open,high,low,close
04/05/2025,5634.734726,5818.916816639029,5506.4224285616865,5691.104526061861
11/05/2025,5671.651830699449,5791.930138998538,5557.842859148666,5669.266766062787
18/05/2025,5919.3900862867185,6025.646649307763,5810.366087785536,5917.471392581389
25/05/2025,5774.284755924855,5858.915056771431,5653.689822163067,5764.524974085533
01/06/2025,5889.353575841572,5975.776300138528,5769.8276425045515,5877.156502074087
08/06/2025,5977.059341763924,6058.419425885851,5862.639625371518,5963.360949234775
15/06/2025,5989.654802,6063.227043357609,5882.750869235606,5965.852491630727
22/06/2025,5990.115915047666,6055.680013,5890.345947257587,5965.035747
29/06/2025,6140.745341781436,6215.681698810688,6036.608128,6127.682113704195
06/07/2025,6235.095109,6310.237773339335,6127.631668983359,6224.458977725264
13/07/2025,6242.709665883205,6313.171110459028,6137.587166118488,6218.159899765821
20/07/2025,6300.099161833687,6373.014547697122,6193.285404476288,6289.1314441222885
27/07/2025,6358.967690673775,6430.437869,6255.994103385109,6347.143492754885
03/08/2025,6275.914087737507,6346.108204,6178.9431,6264.710855578343
10/08/2025,6338.040894724652,6422.450839568845,6231.067988315696,6331.431374
17/08/2025,6467.670053895579,6551.211338142296,6360.456309465146,6461.077670698532
24/08/2025,6373.536809640475,6447.579880746673,6268.3644148435815,6364.40381
31/08/2025,6478.296028650972,6561.755300343235,6370.574680967445,6471.3925286532385
07/09/2025,6520.2331258945715,6596.839318843458,6417.350528220304,6512.825103812551
14/09/2025,6583.433741493111,6665.833695737798,6481.0674050448615,6575.980161104266
21/09/2025,6638.066864591165,6715.889772368773,6532.023667381929,6630.811673389164
28/09/2025,6604.8959333521925,6682.894274146919,6502.282634004472,6595.151554767216
05/10/2025,6712.302147970247,6785.913206064304,6602.7612374269465,6698.610364000362
12/10/2025,6729.633233,6806.583281400171,6620.9486623490675,6716.746061289217
19/10/2025,6597.754462261568,6685.181060230212,6487.568949509093,6590.194749234618
26/10/2025,6764.971962384846,6866.579511710035,6653.884006554924,6760.198453437477
02/11/2025,6873.316601134935,6954.382005395714,6763.928332898915,6864.004613661885
09/11/2025,6683.872865910371,6768.884499232606,6565.680680783857,6670.174598
16/11/2025,6663.879246185794,6758.777507458563,6545.481337250326,6658.149119929912
23/11/2025,6549.999734142008,6637.875832063868,6443.815810627836,6541.392272
30/11/2025,6810.994292091771,6935.1540881865685,6679.689454755888,6807.397617
07/12/2025,6868.501659640304,6964.666140912158,6740.802621315875,6854.374615883218
14/12/2025,6881.214439501586,6962.9216368740135,6771.450344129394,6870.735991753893
21/12/2025,6788.447884688766,6874.237456633809,6681.598205385501,6776.186340392082
28/12/2025,6930.461127675837,7021.371599627807,6818.350494279672,6921.634582464066
03/05/2026,6930.461127675837,7021.371599627807,6818.350494279672,6921.634582464066
10/05/2026,6914.795893367797,7016.141494376198,6794.834341356514,6893.936802081959
17/05/2026,6886.458848503034,6986.739507051182,6763.122638,6866.937907519324
24/05/2026,6860.137615,6958.836674516439,6733.165306995175,6838.2604411615675
31/05/2026,6830.694252,6931.236404623896,6704.502507326278,6791.217915025862
07/06/2026,6787.299730301989,6886.931390085395,6645.523529621453,6731.921035513501
14/06/2026,6729.1322442237415,6831.961538555964,6587.1200532431885,6673.588482315636
21/06/2026,6669.468987876057,6775.151638938696,6528.248582260537,6617.556551756482
28/06/2026,6614.3074771012425,6719.847910293556,6470.958813685828,6562.136283916162
05/07/2026,6557.339487079469,6666.12272,6411.845446977192,6505.419356841309
12/07/2026,6499.405567401954,6613.262283107122,6355.638615945339,6451.926045056853
19/07/2026,6445.967792368705,6562.543367690302,6303.376933888738,6401.650859916051
26/07/2026,6395.193583852944,6511.883165756102,6250.808831289536,6354.024371371514
02/08/2026,6346.581687941345,6466.495068158077,6201.783400245229,6317.384364646462
09/08/2026,6309.284802772121,6435.019818755613,6171.121906684216,6291.229829
16/08/2026,6279.618521993938,6408.013294520994,6150.472068676004,6267.107359844089
23/08/2026,6255.253948549348,6383.912843455464,6127.012494288669,6242.724938031018
30/08/2026,6230.634261585188,6364.269140535603,6103.456789591301,6224.159317904133
06/09/2026,6211.3104547634875,6346.746149466634,6087.005314,6206.119595161859
13/09/2026,6193.791567829515,6330.0876300794425,6070.1521414408035,6189.419522875058
20/09/2026,6177.365333257307,6313.594401715737,6053.6241413743155,6172.537470359593
27/09/2026,6160.717128542872,6296.477117924489,6037.293357144135,6154.735651
04/10/2026,6142.597321907835,6278.280589934973,6019.953116209756,6136.985172686756
11/10/2026,6124.881850990363,6260.173803607626,6002.591355578891,6119.285887
18/10/2026,6107.3124743312765,6242.243768644246,5985.279666888186,6101.637647504308
25/10/2026,6089.859271321985,6225.042293995954,5968.017906,6084.460936091722
01/11/2026,6073.159007,6210.673718455448,5951.217347059704,6068.347605148648
08/11/2026,6058.697215803319,6194.964527232149,5935.4568818953185,6052.637769075544
15/11/2026,6043.155650047707,6178.728637277833,5920.091075468139,6037.3200427942065
22/11/2026,6027.865258006857,6163.091806,5905.181466511233,6022.041081882181
29/11/2026,6012.557273759502,6147.494548178141,5890.236915590344,6007.329726033655
06/12/2026,5998.008429428159,6132.472022633109,5875.842177,5992.654308829179
13/12/2026,5983.355783392041,6117.490892991281,5861.487973363802,5978.014742473575
20/12/2026,5969.900077776829,6103.924213632749,5847.168835681822,5965.383158357179
27/12/2026,5958.209857957511,6091.192203642743,5836.484638060177,5953.069369230487
03/01/2027,5945.910876,6077.800245585242,5824.660435587081,5940.780998320635
10/01/2027,5933.6372817179745,6065.254404255093,5812.637127371258,5928.517993159148
17/01/2027,5921.389023,6052.734460145701,5800.638637759379,5916.280301385857
24/01/2027,5909.1660465720615,6039.875453415635,5788.575986676772,5904.067870748671
31/01/2027,5897.138883363924,6027.512566762445,5776.627164253871,5891.880649103365
07/02/2027,5884.9659645868915,6015.070529640048,5764.458358703285,5879.718584413345
14/02/2027,5872.818173241056,6002.902611867598,5752.559320070833,5867.581624749433
21/02/2027,5861.040073631859,5990.511374800613,5740.684843524108,5855.469718289644
28/02/2027,5850.367453112269,5986.343606,5728.834878361867,5845.3108428207415
07/03/2027,5842.771097319483,5983.282707982507,5719.783027337851,5835.169592368406
14/03/2027,5833.063369,5974.582498871395,5709.910948787388,5831.678284466859
21/03/2027,5829.805934734997,5971.936091,5707.045774623213,5829.462834862822
28/03/2027,5827.591196435026,5969.891253142736,5704.966031055615,5827.248227
04/04/2027,5825.377299512246,5967.623296549839,5702.798719328525,5825.034460277251
11/04/2027,5823.164243647017,5965.3562015517155,5700.632230961311,5823.161888807552
18/04/2027,5821.210133034164,5963.6055962986475,5698.799651025905,5821.289919312645
25/04/2027,5819.338790969396,5961.688478421952,5696.944503,5819.418551599014
